system,equipment,tagname,anomaly_count,h1_alarm_count,l1_alarm_count
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI224406.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI224407.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI225503.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI225504.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI225505.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI225506.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI226601.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI226602.PNT,7.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI226603.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI226604.PNT,16.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI226605.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI226606.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI226607.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI226608.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI226701.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI226702.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI226703.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI226704.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI226705.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI226706.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI226707.PNT,3.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI226708.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI227101.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI227102.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI227105.PNT,15.0,0,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI227201.PNT,17.0,0,0
GENERATOR SYSTEM #1,STEADY BEARING GENERATOR #1,OPC.AW1002.1QAI.AI227207.PNT,0.0,36,0
GENERATOR SYSTEM #1,STEADY BEARING GENERATOR #1,OPC.AW1002.1QAI.AI227308.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1Q_FLOW.BFPSTMAAIN.PNT,1.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1Q_FLOW.BFPSTMAIN.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1B,OPC.AW1002.1Q_FLOW.BFPSTMBAIN.PNT,0.0,36,0
CONDENSATE SYSTEM #1,CONDENSATE MAKE-UP SYSYEM #1,OPC.AW1002.1Q_FLOW.CNMAKEAIN.PNT,2.0,32,4
CLOSE COOLING SYSTEM #1,SWBP #1A,OPC.AW1002.1RAI.AI230101.PNT,0.0,36,0
CLOSE COOLING SYSTEM #1,CWHE #1A,OPC.AW1002.1RAI.AI230102.PNT,0.0,36,0
CLOSE COOLING SYSTEM #1,CLOSED COOLING WATER PIPE #1,OPC.AW1002.1RAI.AI230103.PNT,0.0,36,0
